mode,horizon,status,error,model,group,complexity_rank,runtime_seconds,MAE,RMSE,R2,recall_unhealthy_plus,mae_top5,threshold_95,n_test,tuned,best_params,rank_mae,selected_champion
operational,48,ok,,RollingMean_168h,corrected_baseline,0,0.0,21.9349,29.764,0.165901,0.920359,63.7904,121.1,2163,,,4.0,False
operational,48,ok,,XGBoost,tabular_boosting,2,30.0557,22.0523,31.2914,0.078101,0.973054,89.4809,121.1,2163,True,"{""subsample"": 0.6, ""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""colsample_bytree"": 0.6}",5.0,False
operational,48,ok,,SARIMAX,statistical,1,25.5149,22.3285,32.6233,-0.002054,0.915569,93.6777,121.1,2163,False,,6.0,False
operational,48,ok,,LightGBM,tabular_boosting,2,31.0616,22.7252,31.27,0.07936,0.944311,85.5576,121.1,2163,True,"{""subsample"": 0.6, ""num_leaves"": 15, ""n_estimators"": 800, ""max_depth"": 6, ""learning_rate"": 0.03, ""colsample_bytree"": 0.6}",7.0,False
operational,48,ok,,RollingMean_24h,corrected_baseline,0,0.0,22.7361,31.3119,0.076891,0.852695,65.9223,121.1,2163,,,8.0,False
operational,48,ok,,Ridge,tabular_linear,1,0.3019,23.1045,33.5513,-0.05987,0.856287,96.5321,121.1,2163,True,"{""ridge__alpha"": 200.0}",9.0,False
operational,48,ok,,RandomForest,tabular_tree,2,3.9715,23.5893,32.4131,0.010819,0.915569,83.6103,121.1,2163,False,,10.0,False
operational,48,ok,,Persistence,corrected_baseline,0,0.0,24.8073,35.0138,-0.154283,0.835329,65.2545,121.1,2163,,,11.0,False
operational,48,ok,,WindowMLP_168h,sequential_window,3,6.1758,28.536,37.7102,-0.338914,0.762275,70.5331,121.1,2163,False,,12.0,False
operational,48,ok,,SeasonalNaive_168h,corrected_baseline,0,0.0,28.8826,41.0057,-0.583155,0.836527,70.3673,121.1,2163,,,13.0,False
operational,72,ok,,WindowRidge_168h,sequential_window,2,0.6039,22.5569,30.6277,0.118718,0.974174,72.4808,121.145,2158,True,"{""ridge__alpha"": 200.0}",1.0,True
operational,72,ok,,RollingMean_168h,corrected_baseline,0,0.0,22.8051,30.967,0.099089,0.906306,66.1922,121.145,2158,,,2.0,False
operational,72,ok,,ElasticNet,tabular_linear,1,5.0058,23.222,33.1884,-0.034804,0.953153,93.771,121.145,2158,True,"{""elasticnet__l1_ratio"": 0.5, ""elasticnet__alpha"": 1.0}",3.0,False
operational,72,ok,,RollingMean_24h,corrected_baseline,0,0.0,23.6098,33.0169,-0.024136,0.854054,62.4116,121.145,2158,,,4.0,False
operational,72,ok,,XGBoost,tabular_boosting,2,31.942,23.7152,32.9859,-0.022213,0.952553,88.9974,121.145,2158,True,"{""subsample"": 0.6, ""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""colsample_bytree"": 0.6}",5.0,False
operational,72,ok,,SARIMAX,statistical,1,22.7146,24.2999,35.1423,-0.16023,0.859459,98.9284,121.145,2158,False,,6.0,False
operational,72,ok,,Ridge,tabular_linear,1,0.3435,24.8982,35.8153,-0.205096,0.846246,100.8322,121.145,2158,True,"{""ridge__alpha"": 200.0}",7.0,False
operational,72,ok,,ExtraTrees,tabular_tree,2,0.916,25.3823,35.2035,-0.164275,0.921922,85.8985,121.145,2158,False,,8.0,False
operational,72,ok,,Persistence,corrected_baseline,0,0.0,25.4339,36.0942,-0.223942,0.826426,60.988,121.145,2158,,,9.0,False
operational,72,ok,,RandomForest,tabular_tree,2,3.9996,27.0097,36.3182,-0.239175,0.932132,84.7076,121.145,2158,False,,10.0,False
operational,72,ok,,LightGBM,tabular_boosting,2,25.9309,27.8579,37.2862,-0.306114,0.871471,84.0216,121.145,2158,True,"{""subsample"": 0.9, ""num_leaves"": 127, ""n_estimators"": 500, ""max_depth"": -1, ""learning_rate"": 0.15, ""colsample_bytree"": 0.7}",11.0,False
operational,72,ok,,SeasonalNaive_168h,corrected_baseline,0,0.0,28.9272,41.0504,-0.583137,0.836036,70.6472,121.145,2158,,,12.0,False
operational,72,ok,,WindowMLP_168h,sequential_window,3,6.1732,29.2187,38.2783,-0.376545,0.768168,60.8586,121.145,2158,False,,13.0,False
